,commune,ofs,population,superficie,densite,canton,pecc,details
156,Faoug,5458,902,3.45,261.0,Vaud,Oui,"Bâtiments : Faoug (petite commune sur le lac de Morat) a élaboré un plan climat avec Morat (FR) pour assainir conjointement leurs bâtiments: isolation de la salle polivalente de Faoug, remplacement de chauffages électriques par une connexion au réseau de chaleur de Morat. Mobilité : amélioration de la ligne de bus entre Avenches et Morat via Faoug pour offrir une alternative à la voiture; création d’un tronçon de piste cyclable le long du lac pour déplacements et loisirs. Énergie : Faoug soutient le projet de parc éolien du Mont Vully (voisin) et planifie d’installer une micro-centrale solaire flottante pilote sur le port. Adaptation : suivis réguliers du niveau du lac et plan d’urgence en cas de crues; plantation de saules et roseaux sur les rives pour renforcer la protection rive."
157,Féchy,5427,906,2.7,336.0,Vaud,,
158,Ferreyres,5483,319,3.15,101.0,Vaud,Oui,"Bâtiments/Énergie : Ferreyres a réalisé son PECC en 2022 (avec l’aide d’Alterna et Lyka ). Le plan prévoit l’installation de panneaux solaires sur l’ensemble des bâtiments communaux disponibles (école, hangar), couplée à du stockage batterie pour l’autoconsommation. Mobilité : promotion du télétravail et d’une mobilité combinée (parking vélo sécurisé à la gare de Cossonay-Penthalaz) pour réduire les trajets en voiture des habitants. Agriculture : soutien aux agriculteurs locaux pour planter des cultures protéiques moins émissives et maintien des prairies permanentes (captation carbone). Transversal : la commune a mis en place une Commission Énergie-Climat qui suit la mise en œuvre des actions et organise chaque année un événement communal (p. ex. journée du climat avec atelier éco-gestes)."
159,Fey,5522,762,7.35,104.0,Vaud,,
160,Fiez,5556,436,6.84,64.0,Vaud,,
161,Fontaines-sur-Grandson,5557,199,7.85,25.0,Vaud,,
162,Forel,5604,2066,18.51,112.0,Vaud,Non (en cours),"PECC en cours d’élaboration). La commune de Forel a initié fin 2024 la démarche PECC. Axes pressentis : rénovation énergétique de l’école de Forel (gros consommateur d’électricité), développement du solaire photovoltaïque (toit de la grande salle et éventuellement d’une halle agricole), et promotion du chauffage au bois local (Forel dispose de massifs forestiers). Mobilité : probablement étude pour une navette reliant Forel aux gares de la ligne Lausanne–Palézieux afin de réduire la dépendance à la voiture. Adaptation : la commune travaillera sur la préservation des zones humides du plateau du Jorat (tourbières) et encouragera les jardins naturels chez les particuliers."
163,Founex,5717,3805,4.79,794.0,Vaud,,
164,Froideville,5523,2723,7.08,385.0,Vaud,Oui,"Bâtiments : Froideville a adopté un PECC comprenant la rénovation énergétique du collège du Jorat (isolation thermique, ventilation double-flux) et le remplacement de l’ancien chauffage au mazout de l’administration par une chaudière à pellets moderne. Énergie : la commune développe un projet de chauffage à distance alimenté aux plaquettes de bois issues des forêts communales, pour chauffer plusieurs bâtiments publics et immeubles locatifs du centre. Mobilité : mise en place d’une ligne de bus interne reliant les hameaux de Froideville, afin de réduire l’usage de la voiture sur de courts trajets; extension des trottoirs et amélioration de la sécurité des piétons le long de la route principale. Adaptation : plantation d’arbres dans l’espace public (plan 1’000 arbres d’ici 2030), végétalisation du nouveau lotissement communal pour réduire les futures canicules."
165,Genolier,5718,2026,4.87,416.0,Vaud,Oui,"Bâtiments/Énergie : Genolier a voté un plan climat ambitieux en 2023: rénovation du complexe scolaire (isolation toit et façades, installation solaire ~100 kWc sur le toit) et projet de géothermie pour chauffer le futur EMS intercommunal. Mobilité : extension du réseau de sentiers piétons vers la gare de Genolier et amélioration de l’offre PubliCar (transport à la demande). La commune incite également au covoiturage via une plateforme locale. Adaptation : participation au projet Trame verte de Nyon Région (création de continuités écologiques entre bois et champs) et mise en place d’un système d’alerte canicule pour les aînés (via le réseau de voisinage). Transversal : Genolier collabore avec d’autres communes de la Côte (ex. Givrins) pour mutualiser un conseiller énergétique communal."
166,Giez,5559,458,4.77,96.0,Vaud,,
167,Gilly,5857,1472,7.76,190.0,Vaud,Non (en cours),"Gilly (commune viticole de La Côte) a lancé l’élaboration de son PECC en 2024. En attendant, actions en cours : rénovation de l’éclairage public (conversion LED terminée en 2023), et participation à un projet de mobilité électrique partagé (car sharing régional) pour offrir une voiture électrique en libre-service aux habitants. Gilly encourage aussi ses vignerons à installer des panneaux solaires sur les toitures de caves. La commune collabore avec le Parc naturel du Jura vaudois pour des mesures de biodiversité (préservation des prairies sèches sur les coteaux)."
168,Gimel,5428,2470,18.89,131.0,Vaud,Oui,"Bâtiments : dans son PECC, Gimel vise l’autonomie énergétique de certains bâtiments communaux : elle a installé une centrale solaire sur le toit de la grande salle (avec batterie de stockage) et projette d’équiper le collège de capteurs solaires thermiques pour l’eau chaude. Mobilité : la commune subventionne l’abonnement Mobilis des jeunes de moins de 25 ans pour favoriser le transport public. Des itinéraires VTT et pédestres ont été balisés, combinant sport et mobilité douce. Agriculture : Gimel soutient la transition agroécologique – un partenariat avec AgriVaud aide les agriculteurs locaux à réduire engrais chimiques et carburants (formation à l’éco-conduite de tracteurs). Transversal : création d’une commission Durabilité incluant des citoyens, qui supervise la mise en œuvre des 35 mesures du plan climat local."
169,Gingins,5719,1266,12.58,101.0,Vaud,,
170,Givrins,5720,1016,3.97,256.0,Vaud,Oui,"Bâtiments : Givrins a réalisé un PECC intercommunal avec Coppet et Commugny via la coopérative Lyka . Le plan prévoit l’amélioration thermique de ses bâtiments publics (mairie et écoles isolées fin 2023) et la pose de panneaux photovoltaïques (déjà effectuée sur la salle communale). Mobilité : la commune encourage l’électromobilité (borne de recharge publique installée à la gare) et participe financièrement au taxi-bus Nyon–St-Cergue pour inciter à laisser la voiture. Adaptation : Givrins accentue la protection de ses vergers et zones forestières, et collabore avec Pro Natura pour aménager une mare communale favorisant la biodiversité. Transversal : sensibilisation des habitants via des ateliers (un sondage communal a recueilli les priorités climat des citoyens en 2022)."
171,Gland,5721,14018,8.32,1685.0,Vaud,,
172,Gollion,5484,1073,5.44,197.0,Vaud,,
173,Goumoëns,5541,1212,10.69,113.0,Vaud,,
174,Grancy,5485,546,5.69,96.0,Vaud,,
175,Grandcour,5817,1004,10.21,98.0,Vaud,,
176,Grandevent,5560,236,3.45,68.0,Vaud,,
177,Grandson,5561,3384,7.86,431.0,Vaud,Oui,"Bâtiments : Grandson a intégré son plan climat communal à sa stratégie de développement durable. Mesures phares : assainissement énergétique du Château de Grandson (bâtiment classé, désormais chauffé par sondes géothermiques et PAC) et rénovation de l’éclairage public du bourg historique (LED discrets). Mobilité : élaboration d’un plan de mobilité scolaire pour sécuriser les trajets des écoliers à pied ou à vélo, et renforcement de la cadence des bus vers Yverdon. Tourisme durable : Grandson, site touristique, investit dans une flotte de vélos électriques en location pour visiteurs et habitants, afin de promouvoir les déplacements doux le long du lac. Adaptation : travaux de renaturation entrepris sur le bord du lac (plages végétalisées) pour faire face à la montée potentielle des eaux et améliorer la biodiversité lacustre."
178,Grens,5722,395,2.56,154.0,Vaud,,
179,Gryon,5405,1508,15.22,99.0,Vaud,,
180,Henniez,5819,450,2.61,172.0,Vaud,,
181,Hermenches,5673,377,4.77,79.0,Vaud,,
182,Jongny,5885,1915,2.16,887.0,Vaud,,
183,Jorat-Menthue,5804,1556,17.65,88.0,Vaud,,
184,Jorat-Mézières,5806,3177,11.07,287.0,Vaud,Non (en cours),"La commune nouvelle de Jorat-Mézières travaille à son PECC. En attendant : elle a déjà adopté un Plan directeur de l’énergie en 2023 qui sert de base. Actions actuelles : rénovation de deux bâtiments scolaires (isolation et panneaux solaires en toiture) avec l’appui du Fonds cantonal. Mise en place d’un réseau de chaleur à distance alimenté par la future centrale bois du Jorat (projet en cours) pour chauffer mairie et collège régional. Mobilité : encouragement du covoiturage via une plateforme partagée avec les communes voisines; étude d’une navette électrique reliant Mézières à Servion (zoo et zone commerciale) pour diminuer le trafic. Adaptation : en tant que commune du Jorat, forte emphase sur la forêt – plan de gestion forestière adapté au climat (diversification des essences, création de zones refuges pour la faune) déjà initié."
185,Jouxtens-Mézery,5585,1493,1.93,774.0,Vaud,,
186,Juriens,5754,351,9.36,38.0,Vaud,,
187,La Chaux,5474,432,6.75,64.0,Vaud,,
188,La Praz,5758,206,5.12,40.0,Vaud,Oui,"Bâtiments/Énergie : dans cette petite commune du Pied du Jura, le PECC vise d’abord l’autonomie énergétique communale. La Praz a installé une chaufferie bois déchiqueté en 2023 qui chauffe la salle communale et l’école, remplaçant le mazout. Des panneaux solaires couvrent désormais 100% de la consommation électrique des bâtiments publics sur l’année. Mobilité : la commune, très rurale, a mis en place un système de covoiturage local informel (liste des trajets affichée au tableau communal) et subventionne partiellement le permis de conduire en échange de l’engagement des jeunes à pratiquer le covoiturage. Agriculture : soutien à l’agroforesterie – plantation de noyers et chênes truffiers sur terres communales, pour stockage carbone et diversification économique. Transversal : participation citoyenne forte : le plan climat a été co-construit avec un groupe d’habitants volontaires représentant divers métiers."
189,La Rippe,5726,1205,16.61,73.0,Vaud,,
190,La Sarraz,5498,2598,7.71,337.0,Vaud,Oui,"Bâtiments : le Plan énergie-climat de La Sarraz (adopté 2022) comporte la rénovation énergétique du collège de La Sarraz (bâtiment emblématique): isolation, ventilation efficiente, installation de 300 m_ de panneaux photovoltaïques, avec objectif de réduire de 40% sa consommation . Mobilité : mise en place d’une zone 30 km/h généralisée en ville pour favoriser la mobilité douce et projet de piste cyclable jusqu’à Cossonay. Énergie : La Sarraz développe un projet de petite centrale hydroélectrique sur le Veyron (rivière locale) pour alimenter en électricité verte environ 50 foyers. Adaptation : requalification des berges du Veyron et du Venoge en espaces naturels pour absorber les crues et créer des parcs riverains ombragés, bénéfiques lors des canicules. Transversal : coopération intercommunale – La Sarraz pilote un groupe de travail climat au sein de son association régionale."
191,La Tour-de-Peilz,5889,12595,3.24,3887.0,Vaud,,
192,L'Abbaye,5871,1536,31.88,48.0,Vaud,,
193,L'Abergement,5741,268,5.78,46.0,Vaud,,
194,Lausanne,5586,144160,41.38,3484.0,Vaud,,
195,Lavey-Morcles,5406,1022,14.19,72.0,Vaud,,
196,Lavigny,5637,1054,4.0,264.0,Vaud,,
197,Le Chenit,5872,4707,99.25,47.0,Vaud,,
198,Le Lieu,5873,908,32.55,28.0,Vaud,,
199,Le Mont-sur-Lausanne,5587,9272,9.82,944.0,Vaud,,
200,Le Vaud,5731,1403,3.11,451.0,Vaud,Oui,"Bâtiments/Énergie : Le Vaud a élaboré un PECC intercommunal avec Arzier-Le Muids et Bassins . Les mesures phares incluent la rénovation énergétique de bâtiments communaux (par ex. école du Vaud isolée et équipée en panneaux solaires) et le remplacement de l’éclairage public par des LED télécommandées pour réduire 30% de consommation . Énergie : planification énergétique du territoire menée conjointement – études pour un éventuel chauffage à distance intercommunal et fort déploiement du photovoltaïque (objectif : couvrir une part significative de la conso communale en solaire) . Mobilité : Le Vaud, village dispersé, encourage l’autopartage: deux véhicules électriques en car sharing sont mis à disposition sur la commune (mesure du PECC réalisée). Création de parcours sécurisés pour piétons/vélos reliant les différents hameaux et installation de bancs pour encourager la marche . Adaptation : promotion de la biodiversité locale (refuges à faune, gestion différenciée des prairies) et lutte contre les espèces invasives (actions coordonnées avec Bassins et Arzier)"
201,Les Clées,5750,192,7.04,27.0,Vaud,,
202,Leysin,5407,3715,18.57,200.0,Vaud,,
203,Lignerolle,5755,462,10.66,43.0,Vaud,,
204,L'Isle,5486,1087,16.21,67.0,Vaud,,
205,Lonay,5638,2687,3.71,724.0,Vaud,Oui (intercommunal),"Lonay fait partie du PECC intercommunal Région Morges avec Denges, Echichens, Lully, Tolochenaz . Bâtiments : programme commun de rénovation (Lonay a rénové son collège en 2022 en suivant les standards Minergie, avec panneaux solaires sur 800 m_). Mobilité : Lonay, en tant que commune périurbaine, développe des cheminements cyclables vers Morges et a créé un giratoire sécurisé avec piste cyclable intégrée sur la RC1, en cohérence avec le plan intercommunal de mobilité douce. Énergie : participation au cadastre solaire régional et encouragement des PME locales à installer du solaire (Lonay a modifié son règlement communal pour faciliter les installations en zone industrielle). Adaptation : Lonay collabore à la création d’un corridor biologique le long du ruisseau La Morges pour connecter habitats naturels, dans le cadre du plan climat régional"
206,Longirod,5429,551,9.44,58.0,Vaud,,
207,Lovatens,5674,141,3.47,41.0,Vaud,,
208,Lucens,5675,4596,17.7,260.0,Vaud,,
209,Luins,5858,626,2.67,234.0,Vaud,,
210,Lully,5639,831,2.05,405.0,Vaud,Oui (intercommunal),"Lully est également engagée dans le PECC coordonné par Région Morges . Bâtiments/Énergie : Lully a terminé en 2024 l’assainissement de son collège intercommunal (isolation et chauffage à pellets) en lien avec le plan régional. La commune installe des panneaux solaires sur la nouvelle salle polyvalente (projet subventionné par le canton). Mobilité : aménagement d’une voie verte entre Lully et Tolochenaz/Morges, créant un itinéraire cyclable protégé pour les écoliers et pendulaires (action du PECC intercommunal). Énergie : Lully participe à l’étude d’un réseau de chaleur desservant la zone industrielle de Lully-Denges (valorisant les rejets de chaleur d’une entreprise locale). Adaptation : valorisation du patrimoine naturel – Lully a créé un petit étang communal en 2023 pour la biodiversité et sensibilise les habitants aux jardins nature."
211,Lussery-Villars,5487,473,3.73,127.0,Vaud,,
212,Lussy-sur-Morges,5640,732,2.34,313.0,Vaud,,
213,Lutry,5606,10794,8.45,1277.0,Vaud,,
214,Maracon,5790,567,4.38,129.0,Vaud,,
215,Marchissy,5430,510,11.98,43.0,Vaud,,
216,Mathod,5919,710,6.59,108.0,Vaud,,
217,Mauborget,5562,134,5.51,24.0,Vaud,,
218,Mauraz,5488,64,0.5,128.0,Vaud,,
219,Mex,5489,814,2.83,288.0,Vaud,,
220,Mies,5723,2200,3.45,638.0,Vaud,Oui,"Bâtiments : Mies (commune de Terre Sainte) a adopté son PECC en 2023. Mesure phare : construction d’une nouvelle école primaire à énergie positive (toit photovoltaïque, pompe à chaleur sur nappe phréatique) qui produira plus d’énergie qu’elle n’en consomme. Les bâtiments existants (administration, salles) seront raccordés à cette installation via un mini-réseau thermique. Mobilité : Mies promeut l’usage du Léman Express (gare de Mies) en aménageant un grand parking vélo sécurisé et en offrant une année d’abonnement TP gratuit aux nouveaux résidents. Énergie : la commune soutient un projet de parc solaire agricole sur serres viticoles en partenariat avec d’autres communes de Terre Sainte. Adaptation : plan de gestion des espaces verts pour résister aux sécheresses (réduction de tonte, choix d’espèces locales résistantes) et réalisation d’un plan canicule communal (identification des personnes vulnérables, salles rafraîchies à disposition)."
221,Missy,5821,373,3.11,120.0,Vaud,,
222,Moiry,5490,296,6.67,44.0,Vaud,Oui,"Bâtiments : Moiry (dans le Haut-Jorat) a un petit patrimoine bâti, mais le PECC prévoit d’installer une chaufferie automatique à bois déchiqueté pour chauffer mairie, école et appartement communal (remplacement du mazout). Mobilité : favoriser le covoiturage et l’électromobilité – la commune va installer une borne de recharge multi-standard sur la place du village et a négocié l’augmentation de la fréquence du bus CarPostal vers Cossonay. Énergie : Moiry encourage l’autonomie énergétique des fermes isolées (panneaux solaires + batteries sur 3 exploitations pilotes soutenues financièrement). Agriculture : promotion de l’agriculture régénérative – la commune collabore avec Agroscope sur une parcelle communale de test (agriculture sans labour, stockage de carbone). Transversal : sensibilisation via le journal communal (rubrique mensuelle “ÉcoGestes à Moiry”) pour impliquer la population."
223,Mollens,5431,322,11.0,29.0,Vaud,,
224,Molondin,5921,282,5.49,51.0,Vaud,,
225,Montagny-près-Yverdon,5922,775,3.52,220.0,Vaud,,
226,Montanaire,5693,2834,33.48,85.0,Vaud,Oui,"Bâtiments : Montanaire, grande commune issue d’une fusion, a un vaste patrimoine: le PECC y consacre un plan d’assainissement par étapes des écoles de chaque village (isolation, solaire, remplacement des fenêtres). Un chauffage à distance à bois est projeté à St-Cierges pour chauffer les bâtiments publics groupés. Mobilité : la commune travaille avec la Transports publics de la Broye pour améliorer la desserte des 9 villages (minibus flexibles), et a instauré un système de vélos électriques en prêt gratuit pour les habitants. Agriculture : Montanaire promeut une agriculture durable sur son territoire très rural – diversification des cultures pour réduire la dépendance aux engrais et encouragement à la production de biomasse (culture de miscanthus) pour alimenter des chauffages. Transversal : la taille de la commune implique un suivi rapproché par le canton (subvention sur 4 ans utilisée): un coordinateur énergie communal à 50% a été engagé pour piloter l’ensemble des mesures dans les localités."
227,Montcherand,5756,494,3.06,161.0,Vaud,,
228,Montilliez,5540,1894,11.87,160.0,Vaud,Oui,"Bâtiments : Montilliez (fusion de communes dans le Gros-de-Vaud) a adopté un plan climat prévoyant la rénovation des bâtiments communaux clés (écoles de Villars-le-Terroir et Bioley-Magnoux) avec isolation extérieure et chauffage par pompes à chaleur, financée en partie par le fonds cantonal. Mobilité : amélioration de la liaison cyclable routière entre Dompierre et Naz (villages de Montilliez) afin de créer une continuité pour vélos, et cofinancement d’un bus scolaire intercommunal pour réduire le trafic des parents. Énergie : Montilliez promeut les communautés d’énergie renouvelable – incitation aux habitants pour se regrouper et partager l’électricité solaire localement (projet pilote en cours avec Romande Énergie). Transversal : sensibilisation dans les écoles (ateliers “ClimACT” en classe) pour ancrer tôt les bons comportements."
229,Mont-la-Ville,5491,495,19.75,25.0,Vaud,Non (en cours),"Mont-la-Ville élabore son PECC (processus en 2025). Actions anticipées : la commune a déjà rénové en 2022 la salle polyvalente avec isolation et pompe à chaleur, et installé 50 m_ de panneaux solaires. Mobilité : en 2023, elle a créé un trottoir sécurisé le long de la route cantonale et milite pour le maintien de la ligne de bus la desservant afin de préserver une alternative à la voiture. Adaptation : Mont-la-Ville est située au pied du Jura – elle participe au projet cantonal de surveillance des chutes de blocs (suite au recul du pergélisol) et a reboisé certaines pentes fragilisées. Transversal : la Municipalité intègre désormais systématiquement un “volet climat” dans ses préavis (pour évaluer l’impact CO_ des projets communaux)."
230,Mont-sur-Rolle,5859,2783,3.85,723.0,Vaud,,
231,Montpreveyres,5792,639,4.1,156.0,Vaud,Oui,"Bâtiments : Montpreveyres a validé son PECC en 2023. Action principale : raccordement de la maison de commune et du bâtiment scolaire au chauffage à distance de Servion voisin (réseau bois) pour éliminer le mazout. De plus, isolation thermique de la bibliothèque et installation de panneaux solaires sur son toit classé (en solution intégrée). Mobilité : Montpreveyres, traversé par une route cantonale, a instauré une zone 30 km/h et des radars pédagogiques pour fluidifier et sécuriser la traversée, encourageant ainsi plus de déplacements à pied. Loisirs durables : la commune a créé un sentier didactique en forêt sur le thème du climat (inauguré en 2024) pour sensibiliser le public local. Adaptation : programme de plantation d’arbres fruitiers anciens pour restaurer la biodiversité et fournir de l’ombre en été."
232,Montreux,5886,26828,33.37,804.0,Vaud,,
233,Montricher,5492,961,25.98,37.0,Vaud,,
234,Morges,5642,17720,3.85,4603.0,Vaud,,
235,Morrens,5527,1142,3.66,312.0,Vaud,,
236,Moudon,5678,6393,15.69,407.0,Vaud,Oui,"Bâtiments : le Plan climat de Moudon (ville de ~6’000 hab., adopté en 2023) est ambitieux : il prévoit une baisse de 60% des émissions communales d’ici 2030 . Mesures clés : assainissement énergétique des bâtiments administratifs (p. ex. l’Hôtel de Ville sera isolé et équipé de géothermie) et installation de plus de 1’000 m_ de panneaux photovoltaïques répartis sur les toits des halles et écoles. Mobilité : Moudon vise à devenir un pôle de mobilité douce : extension des zones piétonnes en centre-ville, création de pistes cyclables vers Lucens et Bercher, et subventions à l’achat de vélos électriques (jusqu’à 300 CHF par vélo). Énergie : planification d’un grand parc solaire sur la décharge recultivée de Moudon, capable d’alimenter 200 ménages. Adaptation : la ville déploie un plan de lutte contre les îlots de chaleur (projet Moudon Végétal – plantation d’arbres, toitures végétalisées sur bâtiments publics) et a établi un plan d’évacuation en cas de crue de la Broye pour protéger la population."
237,Mutrux,5563,146,3.21,45.0,Vaud,,
238,Novalles,5564,102,2.06,50.0,Vaud,,
239,Noville,5408,1180,10.35,114.0,Vaud,,
240,Nyon,5724,23016,6.79,3390.0,Vaud,,
241,Ogens,5680,332,3.41,97.0,Vaud,,
242,Ollon,5409,8159,59.56,137.0,Vaud,,
243,Onnens,5565,498,5.11,97.0,Vaud,,
244,Oppens,5923,202,3.59,56.0,Vaud,,
245,Orbe,5757,7842,12.02,652.0,Vaud,,
246,Orges,5924,416,4.02,103.0,Vaud,Non (en cours),Orges (Jura-Nord vaudois) a démarré l’élaboration de son PECC en 2024. Actions déjà entreprises : remplacement de toutes les chaufferies communales au mazout par des pompes à chaleur (réalisé en 2022 dans 3 bâtiments) – ce qui réduit significativement les émissions locales. Mobilité : participation au projet “Nord Vaudois Mobilité” pour créer des hub de mobilité partagée (Orges accueillera une station de vélos électriques en libre-service financée par le projet). Adaptation : Orges est active dans la lutte contre le ruissellement agricole (plantation de haies anti-érosion en collaboration avec les agriculteurs). Transversal : la commune a un conseiller communal délégué au “développement durable” qui coordonne ces projets en attendant le plan formel.
247,Ormont-Dessous,5410,1213,64.07,19.0,Vaud,,
248,Ormont-Dessus,5411,1423,61.65,23.0,Vaud,,
249,Orny,5493,500,5.56,90.0,Vaud,Oui,"Bâtiments : le PECC d’Orny (validé 2023) comprend l’optimisation énergétique de la grande salle communale (isolation du toit, ventilation à récupération de chaleur) et l’installation d’une centrale solaire villageoise sur plusieurs toitures (projet coopératif où la commune et les citoyens investissent). Mobilité : la proximité d’Orbe a incité Orny à développer une navette électrique Orny–Orbe aux heures de pointe pour les pendulaires, réduisant ainsi l’usage individuel de l’auto. Agriculture : programme de valorisation du bois bocager : la commune aide financièrement à l’entretien des haies et récupère le bois issu de tailles pour alimenter un petit chauffage communal (chaudière à plaquettes). Transversal : Orny collabore étroitement avec Orbe (ville voisine) pour aligner ses actions climat (partage d’expériences, participation au Plan climat d’Orbe sur certains volets comme la mobilité)."
250,Oron,5805,6173,26.28,235.0,Vaud,Oui,"Bâtiments : Oron (commune de 10 villages fusionnés) a un plan climat transversal. Il prévoit la rénovation de l’ensemble des bâtiments scolaires du territoire d’ici 2030 (nombreux collèges de village à assainir) et la mutualisation des chaufferies (ex: une chaufferie centralisée au bois déchiqueté a été construite à Oron-la-Ville pour chauffer plusieurs bâtiments publics). Mobilité : création d’un réseau de bus interne à Oron reliant Oron-la-Ville, Châtillens et les villages principaux, pour limiter la circulation automobile interne. Extension des zones 30 km/h dans tous les centres de village pour sécuriser les modes doux. Énergie : Oron profite de son territoire pour implanter du renouvelable : une grande centrale photovoltaïque de 500 kW a été installée en 2023 sur la décharge fermée de Palézieux, et des petites éoliennes domestiques sont encouragées (simplification administrative). Adaptation : Oron gère la rivière la Broye sur sa portion – le plan prévoit des aménagements de protection contre les crues (digues “vertes” végétalisées) et la création de zones d’expansion de crue agricoles."
251,Orzens,5925,214,4.2,51.0,Vaud,,
252,Oulens-sous-Échallens,5529,598,5.86,102.0,Vaud,Oui,"Bâtiments : le PECC communal inclut l’installation de panneaux solaires sur tous les toits communaux exploitables (réalisé en 2024 pour l’école et la maison de commune, ~30 kW) et le remplacement du chauffage au mazout de l’école par une pompe à chaleur. Mobilité : Oulens est traversé par une route cantonale – la commune a aménagé un trottoir continu et une piste cyclable parallèle sécurisant la traversée. Elle subventionne également l’abonnement de train/bus pour les étudiants se rendant à Lausanne ou Yverdon. Agriculture : soutien aux agriculteurs locaux pour implanter des haies champêtres (projet 2 km de haies plantées d’ici 2025) et pour diversifier leurs sources de revenu (panneaux solaires sur hangars agricoles avec participation financière communale). Transversal : partenariat avec Échallens Région pour organiser des stands d’information énergie lors des marchés, sensibilisant la population régionale."
253,Pailly,5530,576,5.77,100.0,Vaud,,
254,Paudex,5588,1536,0.48,3200.0,Vaud,,
255,Payerne,5822,10545,24.19,436.0,Vaud,,
256,Penthalaz,5495,3197,3.87,826.0,Vaud,,
257,Penthaz,5496,1898,3.83,496.0,Vaud,,
258,Penthéréaz,5531,438,5.68,77.0,Vaud,,
259,Perroy,5860,1598,2.9,551.0,Vaud,,
260,Poliez-Pittet,5533,875,5.01,175.0,Vaud,,
261,Pompaples,5497,927,4.45,208.0,Vaud,,
262,Pomy,5926,876,5.62,156.0,Vaud,,
263,Prangins,5725,4271,6.03,708.0,Vaud,,
264,Premier,5759,233,6.12,38.0,Vaud,,
265,Préverenges,5643,5215,1.86,2804.0,Vaud,,
266,Prévonloup,5683,226,1.84,123.0,Vaud,,
267,Prilly,5589,12417,2.19,5670.0,Vaud,,
268,Provence,5566,414,31.84,13.0,Vaud,,
269,Puidoux,5607,3008,22.89,131.0,Vaud,Oui,"Bâtiments/Énergie : Puidoux a adopté un ambitieux plan climat communal. Mesures phares : un nouveau réseau de chauffage à distance aux copeaux de bois (inauguré en 2024) alimente le centre de Puidoux (collège, salle de gym, EMS, etc.), remplaçant plusieurs chauffages fossiles. La commune encourage les privés à s’y raccorder. De plus, installation de panneaux solaires sur le centre sportif des Mosses (300 kW). Mobilité : Puidoux a aménagé une vélo-station à sa gare CFF (120 places vélo abritées + bornes recharge), incitant à l’intermodalité train-vélo. Création d’une navette électrique estivale vers le lac de Bret pour limiter le trafic de loisirs. Agriculture/Territoire : la commune soutient les vignerons de Lavaux (dont une partie se trouve sur Puidoux) dans la transition écologique via des aides pour du matériel moins énergivore et la promotion de l’œnotourisme doux (sentiers à pied/vélo dans le vignoble). Adaptation : suivi accru des risques de glissements de terrain sur les coteaux (pilotage de capteurs) et plan de secours viticole face aux gelées tardives (système d’alerte communal)."
270,Pully,5590,19287,5.85,3297.0,Vaud,,
271,Rances,5760,525,9.83,53.0,Vaud,,
272,Renens,5591,21408,2.96,7232.0,Vaud,,
273,Rennaz,5412,931,2.19,425.0,Vaud,,
274,Rivaz,5609,326,0.31,1052.0,Vaud,,
275,Roche,5413,1949,6.44,303.0,Vaud,,
276,Rolle,5861,6446,2.74,2353.0,Vaud,,
277,Romainmôtier-Envy,5761,574,6.97,82.0,Vaud,,
278,Romanel-sur-Lausanne,5592,3991,2.88,1386.0,Vaud,,
279,Romanel-sur-Morges,5645,462,1.75,264.0,Vaud,,
280,Ropraz,5798,532,4.83,110.0,Vaud,,
281,Rossenges,5684,88,1.07,82.0,Vaud,,
282,Rossinière,5842,528,23.36,23.0,Vaud,,
283,Rougemont,5843,798,48.53,16.0,Vaud,,
284,Rovray,5928,199,3.2,62.0,Vaud,,
285,Rueyres,5534,302,2.02,150.0,Vaud,,
286,Saint-Barthélemy,5535,829,4.12,201.0,Vaud,,
287,Saint-Cergue,5727,2902,24.28,120.0,Vaud,,
288,Saint-George,5434,1060,12.32,86.0,Vaud,,
289,Saint-Livres,5435,698,8.12,86.0,Vaud,,
290,Saint-Oyens,5436,451,3.05,148.0,Vaud,,
291,Saint-Prex,5646,5905,5.52,1070.0,Vaud,,
292,Saint-Saphorin,5610,388,0.89,436.0,Vaud,,
293,Saint-Sulpice,5648,5144,1.86,2766.0,Vaud,,
294,Sainte-Croix,5568,5068,39.42,129.0,Vaud,,
295,Saubraz,5437,449,3.7,121.0,Vaud,,
296,Savigny,5611,3449,16.02,215.0,Vaud,,
297,Senarclens,5499,490,3.97,123.0,Vaud,,
298,Sergey,5762,137,1.46,94.0,Vaud,,
299,Servion,5799,2174,6.33,343.0,Vaud,,
300,Signy-Avenex,5728,606,1.93,314.0,Vaud,,
301,Suchy,5929,669,6.66,100.0,Vaud,,
302,Sullens,5501,1198,3.92,306.0,Vaud,,
303,Suscévaz,5930,217,4.15,52.0,Vaud,,
304,Syens,5688,165,2.52,65.0,Vaud,,
305,Tannay,5729,1734,1.82,953.0,Vaud,,
306,Tartegnin,5862,250,1.09,229.0,Vaud,,
307,Tévenon,5571,865,14.29,61.0,Vaud,,
308,Tolochenaz,5649,1928,1.59,1213.0,Vaud,,
309,Trélex,5730,1449,5.78,251.0,Vaud,,
310,Trey,5827,314,3.81,82.0,Vaud,,
311,Treycovagnes,5931,522,2.08,251.0,Vaud,,
312,Treytorrens,5828,109,3.07,36.0,Vaud,,
313,Ursins,5932,234,3.35,70.0,Vaud,,
314,Valbroye,5831,3405,33.57,101.0,Vaud,,
315,Valeyres-sous-Montagny,5933,703,2.28,308.0,Vaud,,
