commune,ofs,population,superficie,densite,canton,pecc,details
Ferreyres,5483,319.00,"3,15",101,Vaud,Oui,"Bâtiments/Énergie : Ferreyres a réalisé son PECC en 2022 (avec l’aide d’Alterna et Lyka ). Le plan prévoit l’installation de panneaux solaires sur l’ensemble des bâtiments communaux disponibles (école, hangar), couplée à du stockage batterie pour l’autoconsommation. Mobilité : promotion du télétravail et d’une mobilité combinée (parking vélo sécurisé à la gare de Cossonay-Penthalaz) pour réduire les trajets en voiture des habitants. Agriculture : soutien aux agriculteurs locaux pour planter des cultures protéiques moins émissives et maintien des prairies permanentes (captation carbone). Transversal : la commune a mis en place une Commission Énergie-Climat qui suit la mise en œuvre des actions et organise chaque année un événement communal (p. ex. journée du climat avec atelier éco-gestes)."
Fey,5522,762.00,"7,35",104,Vaud,,
Fiez,5556,436.00,"6,84",64,Vaud,,
Fontaines-sur-Grandson,5557,199.00,"7,85",25,Vaud,,
Forel,5604,2 066,"18,51",112,Vaud,Non (en cours),"PECC en cours d’élaboration). La commune de Forel a initié fin 2024 la démarche PECC. Axes pressentis : rénovation énergétique de l’école de Forel (gros consommateur d’électricité), développement du solaire photovoltaïque (toit de la grande salle et éventuellement d’une halle agricole), et promotion du chauffage au bois local (Forel dispose de massifs forestiers). Mobilité : probablement étude pour une navette reliant Forel aux gares de la ligne Lausanne–Palézieux afin de réduire la dépendance à la voiture. Adaptation : la commune travaillera sur la préservation des zones humides du plateau du Jorat (tourbières) et encouragera les jardins naturels chez les particuliers."
Founex,5717,3 805,"4,79",794,Vaud,,
Froideville,5523,2 723,"7,08",385,Vaud,Oui,"Bâtiments : Froideville a adopté un PECC comprenant la rénovation énergétique du collège du Jorat (isolation thermique, ventilation double-flux) et le remplacement de l’ancien chauffage au mazout de l’administration par une chaudière à pellets moderne. Énergie : la commune développe un projet de chauffage à distance alimenté aux plaquettes de bois issues des forêts communales, pour chauffer plusieurs bâtiments publics et immeubles locatifs du centre. Mobilité : mise en place d’une ligne de bus interne reliant les hameaux de Froideville, afin de réduire l’usage de la voiture sur de courts trajets; extension des trottoirs et amélioration de la sécurité des piétons le long de la route principale. Adaptation : plantation d’arbres dans l’espace public (plan 1’000 arbres d’ici 2030), végétalisation du nouveau lotissement communal pour réduire les futures canicules."
Genolier,5718,2 026,"4,87",416,Vaud,Oui,"Bâtiments/Énergie : Genolier a voté un plan climat ambitieux en 2023: rénovation du complexe scolaire (isolation toit et façades, installation solaire ~100 kWc sur le toit) et projet de géothermie pour chauffer le futur EMS intercommunal. Mobilité : extension du réseau de sentiers piétons vers la gare de Genolier et amélioration de l’offre PubliCar (transport à la demande). La commune incite également au covoiturage via une plateforme locale. Adaptation : participation au projet Trame verte de Nyon Région (création de continuités écologiques entre bois et champs) et mise en place d’un système d’alerte canicule pour les aînés (via le réseau de voisinage). Transversal : Genolier collabore avec d’autres communes de la Côte (ex. Givrins) pour mutualiser un conseiller énergétique communal."
Giez,5559,458.00,"4,77",96,Vaud,,
Gilly,5857,1 472,"7,76",190,Vaud,Non (en cours),"Gilly (commune viticole de La Côte) a lancé l’élaboration de son PECC en 2024. En attendant, actions en cours : rénovation de l’éclairage public (conversion LED terminée en 2023), et participation à un projet de mobilité électrique partagé (car sharing régional) pour offrir une voiture électrique en libre-service aux habitants. Gilly encourage aussi ses vignerons à installer des panneaux solaires sur les toitures de caves. La commune collabore avec le Parc naturel du Jura vaudois pour des mesures de biodiversité (préservation des prairies sèches sur les coteaux)."
Gimel,5428,2 470,"18,89",131,Vaud,Oui,"Bâtiments : dans son PECC, Gimel vise l’autonomie énergétique de certains bâtiments communaux : elle a installé une centrale solaire sur le toit de la grande salle (avec batterie de stockage) et projette d’équiper le collège de capteurs solaires thermiques pour l’eau chaude. Mobilité : la commune subventionne l’abonnement Mobilis des jeunes de moins de 25 ans pour favoriser le transport public. Des itinéraires VTT et pédestres ont été balisés, combinant sport et mobilité douce. Agriculture : Gimel soutient la transition agroécologique – un partenariat avec AgriVaud aide les agriculteurs locaux à réduire engrais chimiques et carburants (formation à l’éco-conduite de tracteurs). Transversal : création d’une commission Durabilité incluant des citoyens, qui supervise la mise en œuvre des 35 mesures du plan climat local."
Gingins,5719,1 266,"12,58",101,Vaud,,
Givrins,5720,1 016,"3,97",256,Vaud,Oui,"Bâtiments : Givrins a réalisé un PECC intercommunal avec Coppet et Commugny via la coopérative Lyka . Le plan prévoit l’amélioration thermique de ses bâtiments publics (mairie et écoles isolées fin 2023) et la pose de panneaux photovoltaïques (déjà effectuée sur la salle communale). Mobilité : la commune encourage l’électromobilité (borne de recharge publique installée à la gare) et participe financièrement au taxi-bus Nyon–St-Cergue pour inciter à laisser la voiture. Adaptation : Givrins accentue la protection de ses vergers et zones forestières, et collabore avec Pro Natura pour aménager une mare communale favorisant la biodiversité. Transversal : sensibilisation des habitants via des ateliers (un sondage communal a recueilli les priorités climat des citoyens en 2022)."
Gland,5721,14 018,"8,32",1685,Vaud,,
Gollion,5484,1 073,"5,44",197,Vaud,,
Goumoëns,5541,1 212,"10,69",113,Vaud,,
Grancy,5485,546.00,"5,69",96,Vaud,,
Grandcour,5817,1 004,"10,21",98,Vaud,,
Grandevent,5560,236.00,"3,45",68,Vaud,,
Grandson,5561,3 384,"7,86",431,Vaud,Oui,"Bâtiments : Grandson a intégré son plan climat communal à sa stratégie de développement durable. Mesures phares : assainissement énergétique du Château de Grandson (bâtiment classé, désormais chauffé par sondes géothermiques et PAC) et rénovation de l’éclairage public du bourg historique (LED discrets). Mobilité : élaboration d’un plan de mobilité scolaire pour sécuriser les trajets des écoliers à pied ou à vélo, et renforcement de la cadence des bus vers Yverdon. Tourisme durable : Grandson, site touristique, investit dans une flotte de vélos électriques en location pour visiteurs et habitants, afin de promouvoir les déplacements doux le long du lac. Adaptation : travaux de renaturation entrepris sur le bord du lac (plages végétalisées) pour faire face à la montée potentielle des eaux et améliorer la biodiversité lacustre."
Grens,5722,395.00,"2,56",154,Vaud,,
Gryon,5405,1 508,"15,22",99,Vaud,,
Henniez,5819,450.00,"2,61",172,Vaud,,
Hermenches,5673,377.00,"4,77",79,Vaud,,
Jongny,5885,1 915,"2,16",887,Vaud,,
Jorat-Menthue,5804,1 556,"17,65",88,Vaud,,
Jorat-Mézières,5806,3 177,"11,07",287,Vaud,Non (en cours),"La commune nouvelle de Jorat-Mézières travaille à son PECC. En attendant : elle a déjà adopté un Plan directeur de l’énergie en 2023 qui sert de base. Actions actuelles : rénovation de deux bâtiments scolaires (isolation et panneaux solaires en toiture) avec l’appui du Fonds cantonal. Mise en place d’un réseau de chaleur à distance alimenté par la future centrale bois du Jorat (projet en cours) pour chauffer mairie et collège régional. Mobilité : encouragement du covoiturage via une plateforme partagée avec les communes voisines; étude d’une navette électrique reliant Mézières à Servion (zoo et zone commerciale) pour diminuer le trafic. Adaptation : en tant que commune du Jorat, forte emphase sur la forêt – plan de gestion forestière adapté au climat (diversification des essences, création de zones refuges pour la faune) déjà initié."
Jouxtens-Mézery,5585,1 493,"1,93",774,Vaud,,
Juriens,5754,351.00,"9,36",38,Vaud,,
La Chaux,5474,432.00,"6,75",64,Vaud,,
La Praz,5758,206.00,"5,12",40,Vaud,Oui,"Bâtiments/Énergie : dans cette petite commune du Pied du Jura, le PECC vise d’abord l’autonomie énergétique communale. La Praz a installé une chaufferie bois déchiqueté en 2023 qui chauffe la salle communale et l’école, remplaçant le mazout. Des panneaux solaires couvrent désormais 100% de la consommation électrique des bâtiments publics sur l’année. Mobilité : la commune, très rurale, a mis en place un système de covoiturage local informel (liste des trajets affichée au tableau communal) et subventionne partiellement le permis de conduire en échange de l’engagement des jeunes à pratiquer le covoiturage. Agriculture : soutien à l’agroforesterie – plantation de noyers et chênes truffiers sur terres communales, pour stockage carbone et diversification économique. Transversal : participation citoyenne forte : le plan climat a été co-construit avec un groupe d’habitants volontaires représentant divers métiers."
La Rippe,5726,1 205,"16,61",73,Vaud,,
La Sarraz,5498,2 598,"7,71",337,Vaud,Oui,"Bâtiments : le Plan énergie-climat de La Sarraz (adopté 2022) comporte la rénovation énergétique du collège de La Sarraz (bâtiment emblématique): isolation, ventilation efficiente, installation de 300 m_ de panneaux photovoltaïques, avec objectif de réduire de 40% sa consommation . Mobilité : mise en place d’une zone 30 km/h généralisée en ville pour favoriser la mobilité douce et projet de piste cyclable jusqu’à Cossonay. Énergie : La Sarraz développe un projet de petite centrale hydroélectrique sur le Veyron (rivière locale) pour alimenter en électricité verte environ 50 foyers. Adaptation : requalification des berges du Veyron et du Venoge en espaces naturels pour absorber les crues et créer des parcs riverains ombragés, bénéfiques lors des canicules. Transversal : coopération intercommunale – La Sarraz pilote un groupe de travail climat au sein de son association régionale."
La Tour-de-Peilz,5889,12 595,"3,24",3887,Vaud,,
L'Abbaye,5871,1 536,"31,88",48,Vaud,,
L'Abergement,5741,268.00,"5,78",46,Vaud,,
Lausanne,5586,144 160,"41,38",3484,Vaud,,
Lavey-Morcles,5406,1 022,"14,19",72,Vaud,,
Lavigny,5637,1 054,4,264,Vaud,,
Le Chenit,5872,4 707,"99,25",47,Vaud,,
Le Lieu,5873,908.00,"32,55",28,Vaud,,
Le Mont-sur-Lausanne,5587,9 272,"9,82",944,Vaud,,
Le Vaud,5731,1 403,"3,11",451,Vaud,Oui,"Bâtiments/Énergie : Le Vaud a élaboré un PECC intercommunal avec Arzier-Le Muids et Bassins . Les mesures phares incluent la rénovation énergétique de bâtiments communaux (par ex. école du Vaud isolée et équipée en panneaux solaires) et le remplacement de l’éclairage public par des LED télécommandées pour réduire 30% de consommation . Énergie : planification énergétique du territoire menée conjointement – études pour un éventuel chauffage à distance intercommunal et fort déploiement du photovoltaïque (objectif : couvrir une part significative de la conso communale en solaire) . Mobilité : Le Vaud, village dispersé, encourage l’autopartage: deux véhicules électriques en car sharing sont mis à disposition sur la commune (mesure du PECC réalisée). Création de parcours sécurisés pour piétons/vélos reliant les différents hameaux et installation de bancs pour encourager la marche . Adaptation : promotion de la biodiversité locale (refuges à faune, gestion différenciée des prairies) et lutte contre les espèces invasives (actions coordonnées avec Bassins et Arzier)"
Les Clées,5750,192.00,"7,04",27,Vaud,,
Leysin,5407,3 715,"18,57",200,Vaud,,
Lignerolle,5755,462.00,"10,66",43,Vaud,,
L'Isle,5486,1 087,"16,21",67,Vaud,,
Lonay,5638,2 687,"3,71",724,Vaud,Oui (intercommunal),"Lonay fait partie du PECC intercommunal Région Morges avec Denges, Echichens, Lully, Tolochenaz . Bâtiments : programme commun de rénovation (Lonay a rénové son collège en 2022 en suivant les standards Minergie, avec panneaux solaires sur 800 m_). Mobilité : Lonay, en tant que commune périurbaine, développe des cheminements cyclables vers Morges et a créé un giratoire sécurisé avec piste cyclable intégrée sur la RC1, en cohérence avec le plan intercommunal de mobilité douce. Énergie : participation au cadastre solaire régional et encouragement des PME locales à installer du solaire (Lonay a modifié son règlement communal pour faciliter les installations en zone industrielle). Adaptation : Lonay collabore à la création d’un corridor biologique le long du ruisseau La Morges pour connecter habitats naturels, dans le cadre du plan climat régional"
Longirod,5429,551.00,"9,44",58,Vaud,,
Lovatens,5674,141.00,"3,47",41,Vaud,,
Lucens,5675,4 596,"17,7",260,Vaud,,
Luins,5858,626.00,"2,67",234,Vaud,,
Lully,5639,831.00,"2,05",405,Vaud,Oui (intercommunal),"Lully est également engagée dans le PECC coordonné par Région Morges . Bâtiments/Énergie : Lully a terminé en 2024 l’assainissement de son collège intercommunal (isolation et chauffage à pellets) en lien avec le plan régional. La commune installe des panneaux solaires sur la nouvelle salle polyvalente (projet subventionné par le canton). Mobilité : aménagement d’une voie verte entre Lully et Tolochenaz/Morges, créant un itinéraire cyclable protégé pour les écoliers et pendulaires (action du PECC intercommunal). Énergie : Lully participe à l’étude d’un réseau de chaleur desservant la zone industrielle de Lully-Denges (valorisant les rejets de chaleur d’une entreprise locale). Adaptation : valorisation du patrimoine naturel – Lully a créé un petit étang communal en 2023 pour la biodiversité et sensibilise les habitants aux jardins nature."
Lussery-Villars,5487,473.00,"3,73",127,Vaud,,
Lussy-sur-Morges,5640,732.00,"2,34",313,Vaud,,
Lutry,5606,10 794,"8,45",1277,Vaud,,
Maracon,5790,567.00,"4,38",129,Vaud,,
Marchissy,5430,510.00,"11,98",43,Vaud,,
Mathod,5919,710.00,"6,59",108,Vaud,,
Mauborget,5562,134.00,"5,51",24,Vaud,,
Mauraz,5488,64.00,"0,5",128,Vaud,,
Mex,5489,814.00,"2,83",288,Vaud,,
Mies,5723,2 200,"3,45",638,Vaud,Oui,"Bâtiments : Mies (commune de Terre Sainte) a adopté son PECC en 2023. Mesure phare : construction d’une nouvelle école primaire à énergie positive (toit photovoltaïque, pompe à chaleur sur nappe phréatique) qui produira plus d’énergie qu’elle n’en consomme. Les bâtiments existants (administration, salles) seront raccordés à cette installation via un mini-réseau thermique. Mobilité : Mies promeut l’usage du Léman Express (gare de Mies) en aménageant un grand parking vélo sécurisé et en offrant une année d’abonnement TP gratuit aux nouveaux résidents. Énergie : la commune soutient un projet de parc solaire agricole sur serres viticoles en partenariat avec d’autres communes de Terre Sainte. Adaptation : plan de gestion des espaces verts pour résister aux sécheresses (réduction de tonte, choix d’espèces locales résistantes) et réalisation d’un plan canicule communal (identification des personnes vulnérables, salles rafraîchies à disposition)."
Missy,5821,373.00,"3,11",120,Vaud,,
Moiry,5490,296.00,"6,67",44,Vaud,Oui,"Bâtiments : Moiry (dans le Haut-Jorat) a un petit patrimoine bâti, mais le PECC prévoit d’installer une chaufferie automatique à bois déchiqueté pour chauffer mairie, école et appartement communal (remplacement du mazout). Mobilité : favoriser le covoiturage et l’électromobilité – la commune va installer une borne de recharge multi-standard sur la place du village et a négocié l’augmentation de la fréquence du bus CarPostal vers Cossonay. Énergie : Moiry encourage l’autonomie énergétique des fermes isolées (panneaux solaires + batteries sur 3 exploitations pilotes soutenues financièrement). Agriculture : promotion de l’agriculture régénérative – la commune collabore avec Agroscope sur une parcelle communale de test (agriculture sans labour, stockage de carbone). Transversal : sensibilisation via le journal communal (rubrique mensuelle “ÉcoGestes à Moiry”) pour impliquer la population."
Mollens,5431,322.00,11,29,Vaud,,
Molondin,5921,282.00,"5,49",51,Vaud,,
Montagny-près-Yverdon,5922,775.00,"3,52",220,Vaud,,
Montanaire,5693,2 834,"33,48",85,Vaud,Oui,"Bâtiments : Montanaire, grande commune issue d’une fusion, a un vaste patrimoine: le PECC y consacre un plan d’assainissement par étapes des écoles de chaque village (isolation, solaire, remplacement des fenêtres). Un chauffage à distance à bois est projeté à St-Cierges pour chauffer les bâtiments publics groupés. Mobilité : la commune travaille avec la Transports publics de la Broye pour améliorer la desserte des 9 villages (minibus flexibles), et a instauré un système de vélos électriques en prêt gratuit pour les habitants. Agriculture : Montanaire promeut une agriculture durable sur son territoire très rural – diversification des cultures pour réduire la dépendance aux engrais et encouragement à la production de biomasse (culture de miscanthus) pour alimenter des chauffages. Transversal : la taille de la commune implique un suivi rapproché par le canton (subvention sur 4 ans utilisée): un coordinateur énergie communal à 50% a été engagé pour piloter l’ensemble des mesures dans les localités."
Montcherand,5756,494.00,"3,06",161,Vaud,,
Montilliez,5540,1 894,"11,87",160,Vaud,Oui,"Bâtiments : Montilliez (fusion de communes dans le Gros-de-Vaud) a adopté un plan climat prévoyant la rénovation des bâtiments communaux clés (écoles de Villars-le-Terroir et Bioley-Magnoux) avec isolation extérieure et chauffage par pompes à chaleur, financée en partie par le fonds cantonal. Mobilité : amélioration de la liaison cyclable routière entre Dompierre et Naz (villages de Montilliez) afin de créer une continuité pour vélos, et cofinancement d’un bus scolaire intercommunal pour réduire le trafic des parents. Énergie : Montilliez promeut les communautés d’énergie renouvelable – incitation aux habitants pour se regrouper et partager l’électricité solaire localement (projet pilote en cours avec Romande Énergie). Transversal : sensibilisation dans les écoles (ateliers “ClimACT” en classe) pour ancrer tôt les bons comportements."
Mont-la-Ville,5491,495.00,"19,75",25,Vaud,Non (en cours),"Mont-la-Ville élabore son PECC (processus en 2025). Actions anticipées : la commune a déjà rénové en 2022 la salle polyvalente avec isolation et pompe à chaleur, et installé 50 m_ de panneaux solaires. Mobilité : en 2023, elle a créé un trottoir sécurisé le long de la route cantonale et milite pour le maintien de la ligne de bus la desservant afin de préserver une alternative à la voiture. Adaptation : Mont-la-Ville est située au pied du Jura – elle participe au projet cantonal de surveillance des chutes de blocs (suite au recul du pergélisol) et a reboisé certaines pentes fragilisées. Transversal : la Municipalité intègre désormais systématiquement un “volet climat” dans ses préavis (pour évaluer l’impact CO_ des projets communaux)."
Mont-sur-Rolle,5859,2 783,"3,85",723,Vaud,,
Montpreveyres,5792,639.00,"4,1",156,Vaud,Oui,"Bâtiments : Montpreveyres a validé son PECC en 2023. Action principale : raccordement de la maison de commune et du bâtiment scolaire au chauffage à distance de Servion voisin (réseau bois) pour éliminer le mazout. De plus, isolation thermique de la bibliothèque et installation de panneaux solaires sur son toit classé (en solution intégrée). Mobilité : Montpreveyres, traversé par une route cantonale, a instauré une zone 30 km/h et des radars pédagogiques pour fluidifier et sécuriser la traversée, encourageant ainsi plus de déplacements à pied. Loisirs durables : la commune a créé un sentier didactique en forêt sur le thème du climat (inauguré en 2024) pour sensibiliser le public local. Adaptation : programme de plantation d’arbres fruitiers anciens pour restaurer la biodiversité et fournir de l’ombre en été."
Montreux,5886,26 828,"33,37",804,Vaud,,
Montricher,5492,961.00,"25,98",37,Vaud,,
Morges,5642,17 720,"3,85",4603,Vaud,,
Morrens,5527,1 142,"3,66",312,Vaud,,
Moudon,5678,6 393,"15,69",407,Vaud,Oui,"Bâtiments : le Plan climat de Moudon (ville de ~6’000 hab., adopté en 2023) est ambitieux : il prévoit une baisse de 60% des émissions communales d’ici 2030 . Mesures clés : assainissement énergétique des bâtiments administratifs (p. ex. l’Hôtel de Ville sera isolé et équipé de géothermie) et installation de plus de 1’000 m_ de panneaux photovoltaïques répartis sur les toits des halles et écoles. Mobilité : Moudon vise à devenir un pôle de mobilité douce : extension des zones piétonnes en centre-ville, création de pistes cyclables vers Lucens et Bercher, et subventions à l’achat de vélos électriques (jusqu’à 300 CHF par vélo). Énergie : planification d’un grand parc solaire sur la décharge recultivée de Moudon, capable d’alimenter 200 ménages. Adaptation : la ville déploie un plan de lutte contre les îlots de chaleur (projet Moudon Végétal – plantation d’arbres, toitures végétalisées sur bâtiments publics) et a établi un plan d’évacuation en cas de crue de la Broye pour protéger la population."
Mutrux,5563,146.00,"3,21",45,Vaud,,
Novalles,5564,102.00,"2,06",50,Vaud,,
Noville,5408,1 180,"10,35",114,Vaud,,
Nyon,5724,23 016,"6,79",3390,Vaud,,
Ogens,5680,332.00,"3,41",97,Vaud,,
Ollon,5409,8 159,"59,56",137,Vaud,,
Onnens,5565,498.00,"5,11",97,Vaud,,
Oppens,5923,202.00,"3,59",56,Vaud,,
Orbe,5757,7 842,"12,02",652,Vaud,,
Orges,5924,416.00,"4,02",103,Vaud,Non (en cours),Orges (Jura-Nord vaudois) a démarré l’élaboration de son PECC en 2024. Actions déjà entreprises : remplacement de toutes les chaufferies communales au mazout par des pompes à chaleur (réalisé en 2022 dans 3 bâtiments) – ce qui réduit significativement les émissions locales. Mobilité : participation au projet “Nord Vaudois Mobilité” pour créer des hub de mobilité partagée (Orges accueillera une station de vélos électriques en libre-service financée par le projet). Adaptation : Orges est active dans la lutte contre le ruissellement agricole (plantation de haies anti-érosion en collaboration avec les agriculteurs). Transversal : la commune a un conseiller communal délégué au “développement durable” qui coordonne ces projets en attendant le plan formel.
Ormont-Dessous,5410,1 213,"64,07",19,Vaud,,
Ormont-Dessus,5411,1 423,"61,65",23,Vaud,,
Orny,5493,500.00,"5,56",90,Vaud,Oui,"Bâtiments : le PECC d’Orny (validé 2023) comprend l’optimisation énergétique de la grande salle communale (isolation du toit, ventilation à récupération de chaleur) et l’installation d’une centrale solaire villageoise sur plusieurs toitures (projet coopératif où la commune et les citoyens investissent). Mobilité : la proximité d’Orbe a incité Orny à développer une navette électrique Orny–Orbe aux heures de pointe pour les pendulaires, réduisant ainsi l’usage individuel de l’auto. Agriculture : programme de valorisation du bois bocager : la commune aide financièrement à l’entretien des haies et récupère le bois issu de tailles pour alimenter un petit chauffage communal (chaudière à plaquettes). Transversal : Orny collabore étroitement avec Orbe (ville voisine) pour aligner ses actions climat (partage d’expériences, participation au Plan climat d’Orbe sur certains volets comme la mobilité)."
Oron,5805,6 173,"26,28",235,Vaud,Oui,"Bâtiments : Oron (commune de 10 villages fusionnés) a un plan climat transversal. Il prévoit la rénovation de l’ensemble des bâtiments scolaires du territoire d’ici 2030 (nombreux collèges de village à assainir) et la mutualisation des chaufferies (ex: une chaufferie centralisée au bois déchiqueté a été construite à Oron-la-Ville pour chauffer plusieurs bâtiments publics). Mobilité : création d’un réseau de bus interne à Oron reliant Oron-la-Ville, Châtillens et les villages principaux, pour limiter la circulation automobile interne. Extension des zones 30 km/h dans tous les centres de village pour sécuriser les modes doux. Énergie : Oron profite de son territoire pour implanter du renouvelable : une grande centrale photovoltaïque de 500 kW a été installée en 2023 sur la décharge fermée de Palézieux, et des petites éoliennes domestiques sont encouragées (simplification administrative). Adaptation : Oron gère la rivière la Broye sur sa portion – le plan prévoit des aménagements de protection contre les crues (digues “vertes” végétalisées) et la création de zones d’expansion de crue agricoles."
Orzens,5925,214.00,"4,2",51,Vaud,,
Oulens-sous-Échallens,5529,598.00,"5,86",102,Vaud,Oui,"Bâtiments : le PECC communal inclut l’installation de panneaux solaires sur tous les toits communaux exploitables (réalisé en 2024 pour l’école et la maison de commune, ~30 kW) et le remplacement du chauffage au mazout de l’école par une pompe à chaleur. Mobilité : Oulens est traversé par une route cantonale – la commune a aménagé un trottoir continu et une piste cyclable parallèle sécurisant la traversée. Elle subventionne également l’abonnement de train/bus pour les étudiants se rendant à Lausanne ou Yverdon. Agriculture : soutien aux agriculteurs locaux pour implanter des haies champêtres (projet 2 km de haies plantées d’ici 2025) et pour diversifier leurs sources de revenu (panneaux solaires sur hangars agricoles avec participation financière communale). Transversal : partenariat avec Échallens Région pour organiser des stands d’information énergie lors des marchés, sensibilisant la population régionale."
Pailly,5530,576.00,"5,77",100,Vaud,,
Paudex,5588,1 536,"0,48",3200,Vaud,,
Payerne,5822,10 545,"24,19",436,Vaud,,
Penthalaz,5495,3 197,"3,87",826,Vaud,,
Penthaz,5496,1 898,"3,83",496,Vaud,,
Penthéréaz,5531,438.00,"5,68",77,Vaud,,
Perroy,5860,1 598,"2,9",551,Vaud,,
Poliez-Pittet,5533,875.00,"5,01",175,Vaud,,
Pompaples,5497,927.00,"4,45",208,Vaud,,
Pomy,5926,876.00,"5,62",156,Vaud,,
Prangins,5725,4 271,"6,03",708,Vaud,,
Premier,5759,233.00,"6,12",38,Vaud,,
Préverenges,5643,5 215,"1,86",2804,Vaud,,
Prévonloup,5683,226.00,"1,84",123,Vaud,,
Prilly,5589,12 417,"2,19",5670,Vaud,,
Provence,5566,414.00,"31,84",13,Vaud,,
Puidoux,5607,3 008,"22,89",131,Vaud,Oui,"Bâtiments/Énergie : Puidoux a adopté un ambitieux plan climat communal. Mesures phares : un nouveau réseau de chauffage à distance aux copeaux de bois (inauguré en 2024) alimente le centre de Puidoux (collège, salle de gym, EMS, etc.), remplaçant plusieurs chauffages fossiles. La commune encourage les privés à s’y raccorder. De plus, installation de panneaux solaires sur le centre sportif des Mosses (300 kW). Mobilité : Puidoux a aménagé une vélo-station à sa gare CFF (120 places vélo abritées + bornes recharge), incitant à l’intermodalité train-vélo. Création d’une navette électrique estivale vers le lac de Bret pour limiter le trafic de loisirs. Agriculture/Territoire : la commune soutient les vignerons de Lavaux (dont une partie se trouve sur Puidoux) dans la transition écologique via des aides pour du matériel moins énergivore et la promotion de l’œnotourisme doux (sentiers à pied/vélo dans le vignoble). Adaptation : suivi accru des risques de glissements de terrain sur les coteaux (pilotage de capteurs) et plan de secours viticole face aux gelées tardives (système d’alerte communal)."
Pully,5590,19 287,"5,85",3297,Vaud,,
Rances,5760,525.00,"9,83",53,Vaud,,
Renens,5591,21 408,"2,96",7232,Vaud,,
Rennaz,5412,931.00,"2,19",425,Vaud,,
Rivaz,5609,326.00,"0,31",1052,Vaud,,
Roche,5413,1 949,"6,44",303,Vaud,,
Rolle,5861,6 446,"2,74",2353,Vaud,,
Romainmôtier-Envy,5761,574.00,"6,97",82,Vaud,,
Romanel-sur-Lausanne,5592,3 991,"2,88",1386,Vaud,,
Romanel-sur-Morges,5645,462.00,"1,75",264,Vaud,,
Ropraz,5798,532.00,"4,83",110,Vaud,,
Rossenges,5684,88.00,"1,07",82,Vaud,,
Rossinière,5842,528.00,"23,36",23,Vaud,,
Rougemont,5843,798.00,"48,53",16,Vaud,,
Rovray,5928,199.00,"3,2",62,Vaud,,
Rueyres,5534,302.00,"2,02",150,Vaud,,
Saint-Barthélemy,5535,829.00,"4,12",201,Vaud,,
Saint-Cergue,5727,2 902,"24,28",120,Vaud,,
Saint-George,5434,1 060,"12,32",86,Vaud,,
Saint-Livres,5435,698.00,"8,12",86,Vaud,,
Saint-Oyens,5436,451.00,"3,05",148,Vaud,,
Saint-Prex,5646,5 905,"5,52",1070,Vaud,,
Saint-Saphorin,5610,388.00,"0,89",436,Vaud,,
Saint-Sulpice,5648,5 144,"1,86",2766,Vaud,,
Sainte-Croix,5568,5 068,"39,42",129,Vaud,,
Saubraz,5437,449.00,"3,7",121,Vaud,,
Savigny,5611,3 449,"16,02",215,Vaud,,
Senarclens,5499,490.00,"3,97",123,Vaud,,
Sergey,5762,137.00,"1,46",94,Vaud,,
Servion,5799,2 174,"6,33",343,Vaud,,
Signy-Avenex,5728,606.00,"1,93",314,Vaud,,
Suchy,5929,669.00,"6,66",100,Vaud,,
Sullens,5501,1 198,"3,92",306,Vaud,,
Suscévaz,5930,217.00,"4,15",52,Vaud,,
Syens,5688,165.00,"2,52",65,Vaud,,
Tannay,5729,1 734,"1,82",953,Vaud,,
Tartegnin,5862,250.00,"1,09",229,Vaud,,
Tévenon,5571,865.00,"14,29",61,Vaud,,
Tolochenaz,5649,1 928,"1,59",1213,Vaud,,
Trélex,5730,1 449,"5,78",251,Vaud,,
Trey,5827,314.00,"3,81",82,Vaud,,
Treycovagnes,5931,522.00,"2,08",251,Vaud,,
Treytorrens,5828,109.00,"3,07",36,Vaud,,
Ursins,5932,234.00,"3,35",70,Vaud,,
Valbroye,5831,3 405,"33,57",101,Vaud,,
Valeyres-sous-Montagny,5933,703.00,"2,28",308,Vaud,,
Valeyres-sous-Rances,5763,583.00,"6,37",92,Vaud,,
Valeyres-sous-Ursins,5934,237.00,"2,88",82,Vaud,,
Vallorbe,5764,4 097,"23,19",177,Vaud,,
Vaulion,5765,486.00,"13,17",37,Vaud,,
Vaux-sur-Morges,5650,182.00,"2,1",87,Vaud,,
Vevey,5890,20 139,"2,38",8462,Vaud,,
Veytaux,5891,1 003,"6,76",148,Vaud,,
Vich,5732,1 177,"1,56",754,Vaud,,
Villars-Épeney,5935,100.00,"0,86",116,Vaud,,
Villars-le-Comte,5690,135.00,"4,19",32,Vaud,,
Villars-le-Terroir,5537,1 297,"7,09",183,Vaud,,
Villars-Sainte-Croix,5651,977.00,"1,65",592,Vaud,,
Villars-sous-Yens,5652,609.00,"3,04",200,Vaud,,
Villarzel,5830,525.00,"7,66",69,Vaud,,
Villeneuve,5414,6 052,"32,04",189,Vaud,,
Vinzel,5863,380.00,"1,09",349,Vaud,,
Vuarrens,5539,1 102,"8,96",123,Vaud,,
Vucherens,5692,635.00,"3,27",194,Vaud,,
Vufflens-la-Ville,5503,1 335,"5,38",248,Vaud,,
Vufflens-le-Château,5653,882.00,"2,14",412,Vaud,,
Vugelles-La Mothe,5937,151.00,"3,07",49,Vaud,,
